Opérateur;Année;Filière;Consommation Agriculture (MWh);Nombre de points Agriculture;Nombre de mailles secretisées (agriculture);Indique qualité Agriculture;Consommation Industrie (MWh);Nombre de points Industrie;Nombre de mailles secretisées (industrie);Indice qualité Industrie;Consommation Tertiaire  (MWh);Nombre de points Tertiaire;Nombre de mailles secretisées (tertiaire);Indice qualité Tertiaire;Consommation Résidentiel  (MWh);Nombre de points Résidentiel;Nombre de mailles secretisées (résidentiel);Indice qualité Résidentiel;Thermosensibilité (MWh/degré-jour);Part Thermosensible;Consommation Secteur Inconnu (MWh);Nombre de points Secteur Inconnu;Nombre de mailles secretisées (secteur inconnu);Indice qualité Non Affecté;Code Commune;Libellé Commune;Code EPCI;Libellé EPCI;Code Département;Libellé Département;Code Région;Libellé Région;id_filiere;Consommation totale (MWh);Code_postal
Enedis;2019;Electricité;950.899446379371;44;0;0.854;157.014;1;1;1.0;554.73963952658;45;0;0.876;3583.47666669485;548;0;0.79;0.57710638;26.5;0.0;0;1;0.0;53170;Oisseau;245300389;CC du Bocage Mayennais;53;Mayenne;52;Pays de la Loire;100;5246.129752600801;53300
Enedis;2019;Electricité;382.21765689692;14;0;0.824;1182.84900145849;2;1;0.946;405.590422853264;23;0;0.808;2283.88754148672;331;0;0.818;0.0;0.0;0.0;0;1;0.0;53174;Parigné-sur-Braye;200055887;CC Mayenne Communauté;53;Mayenne;52;Pays de la Loire;100;4254.544622695394;53100
Enedis;2019;Electricité;1497.83802194851;59;0;0.491;197.790683936785;13;0;0.44;1357.56487158607;89;0;0.365;6351.39078002036;878;0;0.323;1.799928701;39.5;556.99555143776;26;0;0.464;53186;Quelaines-Saint-Gault;200048551;CC du Pays de Craon;53;Mayenne;52;Pays de la Loire;100;9961.579908929483;53360/53360
Enedis;2019;Electricité;0.0;0;1;0.0;0.0;0;0;0.0;0.0;0;1;0.0;815.839713282525;131;0;0.51;0.0;0.0;0.0;0;1;0.0;53187;Ravigny;200042182;CC du Mont des Avaloirs;53;Mayenne;52;Pays de la Loire;100;815.839713282525;53370
Enedis;2019;Electricité;415.948790430202;10;0;0.747;0.0;0;0;0.0;0.0;0;1;0.0;329.652753931119;52;0;0.686;0.0;0.0;0.0;0;0;0.0;53189;Rennes-en-Grenouilles;200055887;CC Mayenne Communauté;53;Mayenne;52;Pays de la Loire;100;745.601544361321;53110
Enedis;2019;Electricité;157.265133820716;8;0;0.701;0.0;0;1;0.0;176.043925079887;27;0;0.718;2896.80636362915;477;0;0.809;0.0;0.0;0.0;0;1;0.0;53200;Saint-Baudelle;200055887;CC Mayenne Communauté;53;Mayenne;52;Pays de la Loire;100;3230.115422529753;53100
Enedis;2019;Electricité;862.057461968239;16;1;0.568;14345.9670266031;57;0;0.668;19737.3179806164;366;0;0.643;15444.6819731592;3473;1;0.496;3.109017198;28.0;1527.93413829397;128;1;0.613;53201;Saint-Berthevin;200083392;CA Laval Agglomération;53;Mayenne;52;Pays de la Loire;100;51917.95858064091;53940
Enedis;2019;Electricité;936.687227670984;20;0;0.815;0.0;0;1;0.0;104.702655363997;14;0;0.742;960.932194461919;153;0;0.763;0.0;0.0;0.0;0;1;0.0;53222;Saint-Germain-d'Anxure;200055887;CC Mayenne Communauté;53;Mayenne;52;Pays de la Loire;100;2002.3220774969;53240
Enedis;2019;Electricité;476.685632253057;14;0;0.543;164.563043819032;2;0;0.873;1121.89685560367;43;0;0.509;4727.04100058878;660;0;0.388;1.380635913;40.7;0.0;0;1;0.0;53229;Saint-Jean-sur-Mayenne;200083392;CA Laval Agglomération;53;Mayenne;52;Pays de la Loire;100;6490.186532264539;53240
Enedis;2019;Electricité;502.99706162236;30;0;0.814;0.0;0;1;0.0;216.612506057942;23;0;0.751;1489.8695219742;233;0;0.706;0.0;0.0;89.2278136531075;2;0;0.782;53237;Saint-Mars-sur-Colmont;245300389;CC du Bocage Mayennais;53;Mayenne;52;Pays de la Loire;100;2298.7069033076095;53300
Enedis;2019;Electricité;359.395305348826;28;0;0.504;278.362242827126;13;0;0.651;1218.83292648324;66;0;0.556;6580.94828634825;1016;0;0.544;1.431448346;35.8;247.967337111469;19;0;0.584;53246;Saint-Pierre-des-Nids;200042182;CC du Mont des Avaloirs;53;Mayenne;52;Pays de la Loire;100;8685.50609811891;53370
Enedis;2019;Electricité;160.421005496196;9;0;0.295;0.0;0;1;0.0;52.0885265834388;12;0;0.526;438.189592395603;83;0;0.471;0.0;0.0;0.0;0;1;0.0;53248;Saint-Pierre-sur-Erve;200033298;CC des Coëvrons;53;Mayenne;52;Pays de la Loire;100;650.6991244752378;53270
Enedis;2019;Electricité;1020.81454283694;40;0;0.529;1539.02812827635;17;0;0.667;1352.02409776691;92;0;0.546;6914.07687304809;1103;0;0.432;1.356148354;27.3;110.246013713573;9;0;0.433;53005;Andouillé;245300355;CC de l'Ernée;53;Mayenne;52;Pays de la Loire;100;10936.189655641863;53240
Enedis;2019;Electricité;510.392512865182;26;0;0.829;139.106;1;1;1.0;327.35319836769;28;0;0.793;1983.04829466213;266;0;0.8;0.0;0.0;0.0;0;1;0.0;53009;Arquenay;245300223;CC du Pays de Meslay-Grez;53;Mayenne;52;Pays de la Loire;100;2959.9000058950023;53170
Enedis;2019;Electricité;630.379718053319;23;0;0.53;0.0;0;1;0.0;239.507752038329;18;0;0.547;2319.04515401568;308;0;0.539;0.0;0.0;177.951519604971;11;0;0.44;53011;Astillé;200048551;CC du Pays de Craon;53;Mayenne;52;Pays de la Loire;100;3366.884143712299;53230
Enedis;2019;Electricité;862.945052213801;35;0;0.501;2977.30793989417;5;1;0.928;678.044096368978;39;0;0.425;3793.73114762504;538;0;0.384;1.019859016;37.4;524.166039105293;16;0;0.466;53018;Ballots;200048551;CC du Pays de Craon;53;Mayenne;52;Pays de la Loire;100;8836.194275207283;53350
Enedis;2019;Electricité;344.551621784204;19;0;0.769;0.0;0;0;0.0;32.9527376470405;2;1;0.935;906.990425111962;120;0;0.773;0.0;0.0;0.0;0;1;0.0;53030;Le Bignon-du-Maine;245300223;CC du Pays de Meslay-Grez;53;Mayenne;52;Pays de la Loire;100;1284.4947845432066;53170
Enedis;2019;Electricité;552.21797857108;32;0;0.722;47.2750245303565;1;0;0.933;103.656256409501;11;0;0.749;614.342420345432;130;0;0.733;0.0;0.0;83.3992646669248;3;0;0.877;53047;Carelles;245300389;CC du Bocage Mayennais;53;Mayenne;52;Pays de la Loire;100;1400.8909445232944;53120
Enedis;2019;Electricité;840.822457809916;38;0;0.618;7648.86576471651;8;0;0.652;724.618264913867;53;0;0.578;3423.10431729869;547;0;0.533;0.580121036;27.9;183.555438882493;9;0;0.552;53048;Chailland;245300355;CC de l'Ernée;53;Mayenne;52;Pays de la Loire;100;12820.966243621475;53420
Enedis;2019;Electricité;111.905160387595;12;0;0.63;0.0;0;0;0.0;55.9583323303491;9;0;0.565;484.209714865427;72;0;0.713;0.0;0.0;0.0;0;1;0.0;53068;Chérancé;200048551;CC du Pays de Craon;53;Mayenne;52;Pays de la Loire;100;652.0732075833711;53400
